[START] Training begun at 23:14:02 | 16 parallel envs | MaskablePPO + GPU
[  1.0%]     20,000/2,000,000 |      5s | 4,249 fps | ETA 466s
[  2.0%]     40,000/2,000,000 |     14s | 2,952 fps | ETA 664s
[  3.0%]     60,000/2,000,000 |     18s | 3,254 fps | ETA 596s
[  4.0%]     80,000/2,000,000 |     26s | 3,028 fps | ETA 634s
[  5.0%]    100,000/2,000,000 |     34s | 2,909 fps | ETA 653s
[  6.0%]    120,000/2,000,000 |     39s | 3,075 fps | ETA 611s
[  7.0%]    140,000/2,000,000 |     47s | 2,961 fps | ETA 628s
[  8.0%]    160,000/2,000,000 |     52s | 3,079 fps | ETA 598s
[  9.0%]    180,000/2,000,000 |     60s | 2,992 fps | ETA 608s
[ 10.0%]    200,000/2,000,000 |     68s | 2,936 fps | ETA 613s
[ 11.0%]    220,000/2,000,000 |     72s | 3,035 fps | ETA 586s
[ 12.0%]    240,000/2,000,000 |     81s | 2,973 fps | ETA 592s
[ 13.0%]    260,000/2,000,000 |     85s | 3,050 fps | ETA 570s
[ 14.0%]    280,000/2,000,000 |     94s | 2,993 fps | ETA 575s
[ 15.0%]    300,000/2,000,000 |    102s | 2,952 fps | ETA 576s
[ 16.0%]    320,000/2,000,000 |    106s | 3,016 fps | ETA 557s
[ 17.0%]    340,000/2,000,000 |    114s | 2,985 fps | ETA 556s
[ 18.0%]    360,000/2,000,000 |    118s | 3,045 fps | ETA 539s
[ 19.0%]    380,000/2,000,000 |    126s | 3,010 fps | ETA 538s
[ 20.0%]    400,000/2,000,000 |    134s | 2,981 fps | ETA 537s
[ 21.0%]    420,000/2,000,000 |    139s | 3,028 fps | ETA 522s
[ 22.0%]    440,000/2,000,000 |    147s | 2,996 fps | ETA 521s
[ 23.0%]    460,000/2,000,000 |    155s | 2,966 fps | ETA 519s
[ 24.0%]    480,000/2,000,000 |    159s | 3,010 fps | ETA 505s
[ 25.0%]    500,000/2,000,000 |    168s | 2,982 fps | ETA 503s
[ 26.0%]    520,000/2,000,000 |    172s | 3,026 fps | ETA 489s
[ 27.0%]    540,000/2,000,000 |    180s | 3,000 fps | ETA 487s
[ 28.0%]    560,000/2,000,000 |    188s | 2,976 fps | ETA 484s
[ 29.0%]    580,000/2,000,000 |    192s | 3,015 fps | ETA 471s
[ 30.0%]    600,000/2,000,000 |    200s | 2,993 fps | ETA 468s
[ 31.0%]    620,000/2,000,000 |    205s | 3,029 fps | ETA 456s
[ 32.0%]    640,000/2,000,000 |    212s | 3,021 fps | ETA 450s
[ 33.0%]    660,000/2,000,000 |    219s | 3,013 fps | ETA 445s
[ 34.0%]    680,000/2,000,000 |    223s | 3,051 fps | ETA 433s
[ 35.0%]    700,000/2,000,000 |    230s | 3,038 fps | ETA 428s
[ 36.0%]    720,000/2,000,000 |    234s | 3,071 fps | ETA 417s
[ 37.0%]    740,000/2,000,000 |    242s | 3,063 fps | ETA 411s
[ 38.0%]    760,000/2,000,000 |    250s | 3,045 fps | ETA 407s
[ 39.0%]    780,000/2,000,000 |    254s | 3,075 fps | ETA 397s
[ 40.0%]    800,000/2,000,000 |    262s | 3,054 fps | ETA 393s
[ 41.0%]    820,000/2,000,000 |    270s | 3,042 fps | ETA 388s
[ 42.0%]    840,000/2,000,000 |    274s | 3,065 fps | ETA 378s
[ 43.0%]    860,000/2,000,000 |    282s | 3,048 fps | ETA 374s
[ 44.0%]    880,000/2,000,000 |    287s | 3,069 fps | ETA 365s
[ 45.0%]    900,000/2,000,000 |    294s | 3,057 fps | ETA 360s
[ 46.0%]    920,000/2,000,000 |    302s | 3,043 fps | ETA 355s
[ 47.0%]    940,000/2,000,000 |    307s | 3,064 fps | ETA 346s
[ 48.0%]    960,000/2,000,000 |    314s | 3,054 fps | ETA 341s
[ 49.0%]    980,000/2,000,000 |    319s | 3,075 fps | ETA 332s
[ 50.0%]  1,000,000/2,000,000 |    326s | 3,070 fps | ETA 326s
[ 51.0%]  1,020,000/2,000,000 |    334s | 3,056 fps | ETA 321s
[ 52.0%]  1,040,000/2,000,000 |    338s | 3,077 fps | ETA 312s
[ 53.0%]  1,060,000/2,000,000 |    346s | 3,065 fps | ETA 307s
[ 54.0%]  1,080,000/2,000,000 |    350s | 3,083 fps | ETA 298s
[ 55.0%]  1,100,000/2,000,000 |    358s | 3,070 fps | ETA 293s
[ 56.0%]  1,120,000/2,000,000 |    366s | 3,063 fps | ETA 287s
[ 57.0%]  1,140,000/2,000,000 |    370s | 3,082 fps | ETA 279s
[ 58.0%]  1,160,000/2,000,000 |    378s | 3,067 fps | ETA 274s
[ 59.0%]  1,180,000/2,000,000 |    386s | 3,054 fps | ETA 268s
[ 60.0%]  1,200,000/2,000,000 |    390s | 3,074 fps | ETA 260s
[ 61.0%]  1,220,000/2,000,000 |    398s | 3,069 fps | ETA 254s
[ 62.0%]  1,240,000/2,000,000 |    402s | 3,086 fps | ETA 246s
[ 63.0%]  1,260,000/2,000,000 |    410s | 3,075 fps | ETA 241s
[ 64.0%]  1,280,000/2,000,000 |    418s | 3,064 fps | ETA 235s
[ 65.0%]  1,300,000/2,000,000 |    422s | 3,079 fps | ETA 227s
[ 66.0%]  1,320,000/2,000,000 |    429s | 3,075 fps | ETA 221s
[ 67.0%]  1,340,000/2,000,000 |    433s | 3,094 fps | ETA 213s
[ 68.0%]  1,360,000/2,000,000 |    440s | 3,089 fps | ETA 207s
[ 69.0%]  1,380,000/2,000,000 |    448s | 3,081 fps | ETA 201s
[ 70.0%]  1,400,000/2,000,000 |    452s | 3,097 fps | ETA 194s
[ 71.0%]  1,420,000/2,000,000 |    459s | 3,092 fps | ETA 188s
[ 72.0%]  1,440,000/2,000,000 |    463s | 3,109 fps | ETA 180s
[ 73.0%]  1,460,000/2,000,000 |    471s | 3,102 fps | ETA 174s
[ 74.0%]  1,480,000/2,000,000 |    478s | 3,097 fps | ETA 168s
[ 75.0%]  1,500,000/2,000,000 |    482s | 3,112 fps | ETA 161s
[ 76.0%]  1,520,000/2,000,000 |    489s | 3,107 fps | ETA 154s
[ 77.0%]  1,540,000/2,000,000 |    493s | 3,122 fps | ETA 147s
[ 78.0%]  1,560,000/2,000,000 |    501s | 3,112 fps | ETA 141s
[ 79.0%]  1,580,000/2,000,000 |    509s | 3,104 fps | ETA 135s
[ 80.0%]  1,600,000/2,000,000 |    513s | 3,116 fps | ETA 128s
[ 81.0%]  1,620,000/2,000,000 |    521s | 3,108 fps | ETA 122s
[ 82.0%]  1,640,000/2,000,000 |    529s | 3,100 fps | ETA 116s
